10,1.000,2009/12/31,23:59:59,2009/12/31 23:59:59,"１０",0.100000,"ten"
9,0.900,2009/11/11,23:23:23,2009/11/11 23:23:23,"０９",0.090000,"nine"
8,0.800,2009/10/10,21:21:21,2009/10/10 21:21:21,"０８",0.080000,"eight"
7,0.700,2009/09/09,18:18:18,2009/09/09 18:18:18,"０７",0.070000,"seven"
6,0.600,2009/07/07,15:15:15,2009/07/07 15:15:15,"０６",0.060000,"six"
5,0.500,2009/06/06,12:12:12,2009/06/06 12:12:12,"０５",0.050000,"five"
4,0.400,2009/05/05,09:09:09,2009/05/05 09:09:09,"０４",0.040000,"four"
3,0.300,2009/03/03,06:06:06,2009/03/03 06:06:06,"０３",0.030000,"three"
2,0.200,2009/02/02,03:03:03,2009/02/02 03:03:03,"０２",0.020000,"two"
1,0.100,2009/01/01,00:00:00,2009/01/01 00:00:00,"０１",0.010000,"one"
